site,layer,kind,home_stream,beta_mean,beta_max,beta_norm_per_token,frac_beta_gt_1p9,frac_beta_lt_0p1,write_to_resid_mean,write_to_resid_max,g_norm_mean,g_norm_max,cos_g_pertoken_offdiag_mean,cos_g_global_offdiag_mean,dLdf_norm,coherence,align_ratio,amp_vs_mean_g,identity_rel_err,dLdbeta_norm,dLdz_norm,sat_shrink,dbeta_dz_mean,z_mean,z_max,z_dynamic_mean,h_post_scale,W_post_fro,dL_dh_post_scale,dL_dW_post_fro,static_beta_mean,static_beta_max,static_beta_drift_mean,dL_dstatic_beta_absmean
L12.attn,12,attn,1,0.638112,1.91575,1.55499,0.000335693,0.253632,0.254645,0.456524,0.00818839,0.0163428,0.583874,0.47149,0.00937691,1.32803,0.814433,1.15268,0.00242913,0.0206798,0.00408914,0.199931,0.304829,-1.48713,3.16228,-0.972134,0.20604,4.19248,-0.000484467,0.0619352,-0.514991,0.978686,-0.0149915,0.00021156
L12.mlp,12,mlp,2,0.960216,1.99598,2.21289,0.1297,0.00967407,0.220705,0.350519,0.00774023,0.0161868,0.585717,0.457986,0.0155492,1.43888,0.798586,2.01424,0.00236219,0.00897344,0.00273632,0.308258,0.332767,0.145068,6.22921,0.687123,0.218839,4.12376,0.00120544,0.054935,-0.542055,0.968139,-0.042055,0.000331743
L13.attn,13,attn,0,0.403451,1.99543,1.40552,0.0371094,0.618622,0.167469,0.405989,0.00747199,0.0150763,0.57653,0.454133,0.00634152,1.11477,0.870119,0.852605,0.00253666,0.00784431,0.000883136,0.11051,0.120407,-3.24513,6.12042,-2.68926,0.289542,5.34123,-0.00115585,0.0170444,-0.55587,0.935866,-0.0558702,0.000183242
L13.mlp,13,mlp,2,0.799472,1.93892,2.07344,0.00201416,0.257355,0.239644,0.623155,0.00676124,0.015044,0.618968,0.503224,0.014329,1.22454,0.877012,2.12665,0.00243048,0.00691507,0.00127282,0.184235,0.251117,-1.06251,3.48624,-0.561737,0.214363,4.14103,-0.00330353,0.0189838,-0.500776,1.04874,-0.000775859,0.000241473
L14.attn,14,attn,0,0.295844,1.04205,0.705884,0,0.237061,0.139553,0.260255,0.00676922,0.0150901,0.613253,0.503208,0.00388718,1.39614,0.838712,0.579984,0.00234307,0.0327591,0.00339236,0.105677,0.228013,-2.18163,0.0842896,-1.64369,0.116412,4.51693,-0.0406494,0.0297014,-0.537939,0.940652,-0.0379392,0.000470318
L14.mlp,14,mlp,0,0.926971,1.97802,2.27747,0.0328064,0.170654,0.232762,0.543,0.00630706,0.0149836,0.663162,0.549452,0.0134537,1.37459,0.894915,2.13925,0.00228565,0.00744455,0.00120105,0.162522,0.265221,-0.45812,4.60107,0.0367181,0.20488,4.00088,-0.0027771,0.0201743,-0.494838,1.06592,0.00516237,0.000237844
L15.attn,15,attn,2,0.403993,1.55066,1.00473,0,0.160889,0.111624,0.202233,0.00626336,0.0148764,0.674109,0.559544,0.00490751,1.41328,0.804091,0.789928,0.00232212,0.0190503,0.00244161,0.129262,0.266822,-1.73854,1.24119,-1.20748,0.136446,4.31953,0.000579834,0.0264572,-0.531058,0.966773,-0.0310577,0.000250717
L15.mlp,15,mlp,2,0.865426,1.99517,2.22921,0.134918,0.207642,0.215905,0.537673,0.00604488,0.014799,0.698272,0.58009,0.0123963,1.39637,0.923883,2.05303,0.00224975,0.00680406,0.00108521,0.160846,0.230687,-0.446705,6.0339,0.0784503,0.212844,3.99312,-0.000408173,0.017249,-0.525156,1.07297,-0.0251557,0.000146599
L16.attn,16,attn,2,0.118922,0.801339,0.340305,0,0.596985,0.0829641,0.223387,0.00608031,0.0149055,0.70111,0.583805,0.00163355,1.33237,0.899716,0.270466,0.00240408,0.0664278,0.00302874,0.0478166,0.102526,-3.48993,-0.403256,-2.91225,0.11037,5.1802,0.0382566,0.0218491,-0.577678,0.948306,-0.0776784,0.000588797
L16.mlp,16,mlp,2,0.790709,1.98017,1.86047,0.00747681,0.12793,0.171207,0.409864,0.00530124,0.0119076,0.721587,0.618699,0.0149865,1.34753,0.837699,2.82621,0.002423,0.00464192,0.00195586,0.420634,0.329429,-0.710647,4.62212,-0.196648,0.251553,4.37753,-0.00119019,0.0347022,-0.514,1.00246,-0.0139998,0.000346929
L17.attn,17,attn,1,0.34247,1.73816,0.926103,0,0.369659,0.118301,0.264329,0.00521938,0.0115907,0.739733,0.626519,0.00552058,1.34113,0.886448,1.06388,0.00245485,0.0098315,0.00185354,0.188828,0.217137,-2.52677,1.89881,-1.9764,0.14447,5.52187,-0.0217896,0.0179212,-0.550363,0.962093,-0.050363,0.000319791
L17.mlp,17,mlp,2,1.11294,1.99648,2.60598,0.139648,0.120209,0.180917,0.347051,0.00508426,0.0115904,0.761142,0.643174,0.0130201,1.56596,0.923595,2.56094,0.00215732,0.00519021,0.00097124,0.187316,0.246262,0.30878,6.45062,0.850983,0.191515,4.37665,-0.00102997,0.0120362,-0.542202,1.05219,-0.0422025,6.83888e-05
L18.attn,18,attn,1,0.246941,1.51089,0.649051,0,0.456604,0.0788889,0.154312,0.00509207,0.0116232,0.768129,0.651272,0.00283948,1.35238,0.874487,0.564538,0.00239549,0.0130864,0.00149619,0.117246,0.181837,-2.60946,1.13749,-2.03169,0.124307,5.33781,-0.0323029,0.0149316,-0.577768,0.949609,-0.0777681,0.000564257
L18.mlp,18,mlp,2,0.894673,1.99597,2.19273,0.0717163,0.213837,0.172682,0.441704,0.00459624,0.00973445,0.787617,0.682931,0.0146692,1.42491,0.85777,3.20173,0.00232755,0.00341976,0.00131336,0.383819,0.263671,-0.553112,6.22598,-0.02426,0.266845,4.64586,0.00129521,0.0258983,-0.528852,0.986494,-0.0288519,0.000266606
L19.attn,19,attn,0,0.26241,1.39338,1.03228,0,0.749603,0.149164,0.538852,0.00463418,0.0098475,0.800022,0.688868,0.00128168,1.06906,0.958862,0.277258,0.00283058,0.0488723,0.00281055,0.0602397,0.127091,-5.67737,0.831609,-5.00765,0.0992964,7.30137,-0.012619,0.0187562,-0.669722,0.97907,-0.169722,0.000178944
L19.mlp,19,mlp,0,1.16293,1.99968,2.71012,0.231323,0.0672607,0.234276,0.405456,0.00467811,0.00990267,0.812246,0.687679,0.0126905,1.58605,0.912897,2.73563,0.00216514,0.00620356,0.00132192,0.216671,0.22274,1.01295,8.78541,1.55488,0.173632,4.38567,0.00270367,0.0166873,-0.541928,1.0104,-0.0419285,0.000154791
L20.attn,20,attn,3,0.0315499,0.384383,0.0816819,0,0.969696,0.0370034,0.078846,0.00470896,0.00999897,0.814421,0.690008,0.000351807,1.40558,0.882244,0.0745848,0.00241607,0.0714513,0.00115575,0.0162481,0.0304626,-5.36972,-1.50862,-4.74329,0.124633,5.05168,-0.00498962,0.0101742,-0.626426,0.906275,-0.126426,9.33661e-05
L20.mlp,20,mlp,1,1.1992,1.9998,2.69938,0.210907,0.041748,0.221108,0.435294,0.00472097,0.0100455,0.829195,0.691855,0.0138397,1.70172,0.913769,2.95208,0.00213106,0.0042475,0.00112356,0.271408,0.26347,1.09941,9.24604,1.66845,0.1705,4.92293,0.000425339,0.0144399,-0.569045,1.00813,-0.0690448,0.000131459
L21.attn,21,attn,2,0.0532875,0.584654,0.197005,0,0.752502,0.0759494,0.218922,0.00477836,0.0102686,0.820901,0.694165,0.000261966,1.29636,0.932888,0.0551208,0.00246702,0.139678,0.00218707,0.015845,0.0481118,-6.14759,-0.884626,-5.47326,0.115892,6.50713,0.0454407,0.021665,-0.674328,0.945452,-0.174328,0.000413037
L21.mlp,21,mlp,1,0.93849,1.99858,2.27913,0.116211,0.185852,0.212898,0.545835,0.00437596,0.00870791,0.856806,0.733201,0.0145396,1.51953,0.878491,3.31539,0.00228736,0.00360444,0.00135972,0.376611,0.25627,-0.32128,7.31806,0.217017,0.20796,4.97174,0.000709534,0.0220624,-0.538297,0.99498,-0.0382974,9.3129e-05
L22.attn,22,attn,1,0.0404984,0.851874,0.134121,0,0.888855,0.0150173,0.0332796,0.00443351,0.0088836,0.856077,0.732692,0.000348838,1.20247,0.820507,0.078505,0.00253593,0.0191405,0.000544092,0.0289842,0.0367041,-5.68631,-0.302129,-5.07382,0.138446,5.03147,0.0107574,0.00636784,-0.612487,0.910634,-0.112487,0.00015429
L22.mlp,22,mlp,1,1.05974,1.99876,2.57419,0.206909,0.122864,0.201565,0.350202,0.00454418,0.00905991,0.877931,0.744821,0.0120842,1.54683,0.923681,2.67271,0.00218918,0.00721821,0.00143193,0.201194,0.208404,0.403212,7.38543,1.01739,0.151416,4.91075,0.00141144,0.0182974,-0.614182,1.00134,-0.114182,7.04681e-05
L23.attn,23,attn,1,0.0617928,1.52545,0.161264,0.000152588,0.850677,0.0206987,0.0315599,0.00460644,0.00921378,0.880477,0.7446,0.00169969,1.56039,0.821117,0.369793,0.00222676,0.00808125,0.000403039,0.0500473,0.0517231,-4.53818,1.69525,-3.97055,0.193455,5.05363,-0.00107765,0.00543257,-0.567629,0.921355,-0.0676291,6.78819e-05
L23.mlp,23,mlp,1,0.517274,1.99995,1.27723,0.0787964,0.389954,0.0848914,0.145983,0.00401799,0.00679218,0.900469,0.837069,0.01338,1.57684,0.910683,3.33619,0.00222348,0.00273515,0.000829553,0.302748,0.171529,-2.10498,10.5644,-1.56972,0.252957,5.02462,-0.00387001,0.017999,-0.535259,0.963529,-0.0352586,0.00014781
L24.attn,24,attn,0,0.0178296,0.142843,0.051937,0,0.995697,0.0555647,0.182793,0.00410873,0.00823959,0.885739,0.825718,0.000320332,1.11296,0.960124,0.0784739,0.00265427,0.129784,0.00207265,0.0166369,0.0174191,-5.75518,-2.56591,-5.12969,0.1357,5.02799,-0.0530548,0.023908,-0.625486,0.926274,-0.125486,0.000429955
L24.mlp,24,mlp,2,0.979224,1.99997,2.42615,0.255829,0.113281,0.158902,0.258105,0.0044219,0.00878527,0.915354,0.857439,0.0130034,1.70498,0.930458,2.94343,0.00213882,0.00472267,0.00162022,0.345563,0.230194,0.819224,11.2608,1.34239,0.137954,5.63024,-0.0191727,0.0177398,-0.523166,0.974204,-0.0231661,0.000349922
L25.attn,25,attn,1,0.0749567,0.549874,0.299243,0,0.75,0.0621711,0.244953,0.00477473,0.00959146,0.910578,0.849496,0.000271358,1.01722,0.984947,0.0571549,0.00289431,0.0735038,0.00228253,0.0319713,0.0631439,-8.27252,-0.971397,-7.54989,0.121525,6.46812,-0.00987244,0.022778,-0.722626,0.934853,-0.222626,5.24833e-05
L25.mlp,25,mlp,3,0.709146,2,2.13158,0.256653,0.244171,0.23559,0.369734,0.00546952,0.0108176,0.923116,0.862473,0.00863091,1.73742,0.907836,1.57328,0.00207172,0.00932006,0.00176995,0.190276,0.13253,0.17194,15.7691,0.708742,0.14336,5.85103,0.00547028,0.0172394,-0.536801,1.12306,-0.0368014,0.000343669
L26.attn,26,attn,2,0.149154,1.43174,0.530517,0,0.711487,0.0394849,0.0880539,0.00703359,0.0137369,0.896989,0.849062,0.00107251,1.36164,0.864853,0.153628,0.00235507,0.0205373,0.00118928,0.0591331,0.103677,-4.46533,0.931075,-3.81913,0.148263,5.71153,0.00184631,0.0160236,-0.646197,0.863881,-0.146197,0.00022646
L26.mlp,26,mlp,0,0.635044,1.99985,1.96807,0.18512,0.184296,0.326589,0.37835,0.00933522,0.0144609,0.881488,0.856748,0.00737973,1.64291,0.932677,0.794817,0.0021876,0.0215106,0.00302636,0.14115,0.148099,-0.76271,9.48062,-0.185595,0.120192,4.78167,-0.010025,0.0341522,-0.577116,1.02767,-0.0771156,0.00064011
L27.attn,27,attn,0,0.0458155,0.404708,0.158816,0,0.78598,0.0574444,0.201042,0.0111169,0.0157511,0.861786,0.81665,0.00120955,1.0544,0.973573,0.110739,0.00271227,0.0740504,0.00312264,0.0428706,0.0422154,-6.25632,-1.37501,-5.48793,0.151929,6.03993,0.0986328,0.0429594,-0.768397,0.855437,-0.268397,0.00114944
L27.mlp,27,mlp,2,0.659936,2,2.04322,0.25,0.14682,0.309823,0.355126,0.0140103,0.0198413,0.999349,0.89276,0.00893891,1.986,0.993933,0.655659,0.00201243,0.0453453,0.00512146,0.116947,0.137929,0.53471,15.9424,1.08576,0.0997215,6.89644,-0.270447,0.0529684,-0.551047,0.90701,-0.0510473,0.00393963
